title,content,label
বিশ্ববিদ্যালয় টিউশন ফি কমিয়েছে,বিশ্ববিদ্যালয় আগামী সেমিস্টারের জন্য টিউশন ফিতে ১০% ছাড় ঘোষণা করেছে।,real
ক্যাম্পাস ল্যাবের পাশে ভিনগ্রহবাসী দেখা গেছে,"একজন ছাত্র দাবি করেছে, সে গবেষণা ল্যাবের পাশে ভিনগ্রহবাসী দেখেছে। কর্তৃপক্ষ এ বিষয়ে কোনো নিশ্চয়তা দেয়নি।",fake
নতুন গ্রন্থাগার ২৪/৭ খোলা থাকবে,"নতুন কেন্দ্রীয় গ্রন্থাগার এখন শিক্ষার্থী ও কর্মীদের জন্য ২৪/৭ খোলা থাকবে, যেখানে নিরিবিলি পরিবেশে পড়াশোনা করা যাবে।",real
টাইম ট্রাভেলার ইঞ্জিনিয়ারিংয়ে ভর্তি,"একজন ব্যক্তি যিনি নিজেকে টাইম ট্রাভেলার দাবি করছেন, তিনি ইঞ্জিনিয়ারিং বিভাগে ভর্তি হয়েছেন।",fake
ছাত্র আন্তর্জাতিক গণিত প্রতিযোগিতায় জয়ী,গণিত বিভাগের একজন ছাত্র আন্তর্জাতিক অলিম্পিয়াডে স্বর্ণপদক জিতেছে।,real
গোপন সংগঠন ছাত্র ইউনিয়ন নিয়ন্ত্রণ করছে,"সংবাদসূত্রে জানা গেছে, একটি গোপন সংগঠন ছাত্র ইউনিয়নের সিদ্ধান্তগুলিকে প্রভাবিত করছে।",fake
নতুন ক্যাফেটেরিয়া মেনু চালু,শিক্ষার্থীদের দাবির পরিপ্রেক্ষিতে নতুন ক্যাফেটেরিয়া মেনুতে আরও স্বাস্থ্যকর ও বৈচিত্র্যময় খাবার যুক্ত করা হয়েছে।,real
হোস্টেল কক্ষে ভূতের উপস্থিতি,"একাধিক ছাত্র দাবি করেছে, পুরাতন হোস্টেল ভবনে রাতে ভূতের উপস্থিতি লক্ষ্য করা গেছে।",fake
বিশ্ববিদ্যালয় অঞ্চল সেরা র‍্যাঙ্কিং পেয়েছে,সর্বশেষ শিক্ষাগত র‍্যাঙ্কিংয়ে বিশ্ববিদ্যালয় অঞ্চল সেরা হয়েছে।,real
ল্যাবে অন্য মাত্রার দ্বার আবিষ্কার,"কিছু ছাত্র দাবি করেছে যে, পদার্থবিজ্ঞান ল্যাবে একটি অন্য মাত্রার দ্বার আবিষ্কৃত হয়েছে।",fake
